pmid,doi,num_authors,year,month,day,title,issn,issn_type,volume,issue,journal_title,journal_title_iso,pmid_mesh,descriptor_id,descriptor_name,descriptor_major_topic,qualifiers
27131192,10.1016/j.gaitpost.2016.03.008,6,2016,5,1,"Does ""transition shoe"" promote an intermediate biomechanical condition compared to running in conventional shoe and in reduced protection condition?",1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220350,D000293,Adolescent,N,[]
27131193,10.1016/j.gaitpost.2016.03.012,5,2016,5,1,Biomechanical strategies implemented to compensate for mild leg length discrepancy during gait.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220350,D002648,Child,N,[]
27131194,10.1016/j.gaitpost.2016.03.006,5,2016,5,1,Effects of soft tissue artifacts on differentiating kinematic differences between natural and replaced knee joints during functional activity.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220350,D005820,Genetic Testing,N,[]
27131195,10.1016/j.gaitpost.2016.03.002,8,2016,5,1,Normative EMG patterns of ankle muscle co-contractions in school-age children during gait.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220350,D006801,Humans,N,[]
27131196,10.1016/j.gaitpost.2016.03.005,3,2016,5,1,The effects of predictability on inter-limb postural synchronization prior to bouts of postural instability.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220350,D008382,Marfan Syndrome,N,"['diagnosis', 'drug therapy', 'epidemiology', 'genetics', 'physiopathology']"
27131197,10.1016/j.gaitpost.2016.03.003,3,2016,5,1,Reliability of knee biomechanics during a vertical drop jump in elite female athletes.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220350,D009043,Motor Activity,N,[]
27131198,10.1016/j.gaitpost.2016.03.013,3,2016,5,1,Evaluation of a force plate system for measuring center of pressure in railroad ballast.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220350,D010641,Phenotype,N,[]
27131199,10.1016/j.gaitpost.2016.03.014,3,2016,5,1,The impact of walking devices on kinematics in patients with spastic bilateral cerebral palsy.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220350,D014481,United States,N,['epidemiology']
27131200,10.1016/j.gaitpost.2016.03.007,6,2016,5,1,Altered joint moment strategy during stair walking in diabetes patients with and without peripheral neuropathy.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D015746,Abdominal Pain,N,"['etiology', 'physiopathology', 'therapy']"
27131201,10.1016/j.gaitpost.2016.03.015,4,2016,5,1,"The gait standard deviation, a single measure of kinematic variability.",1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D000328,Adult,N,[]
27131203,10.1016/j.gaitpost.2015.12.025,2,2016,5,1,Editorial.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D056352,Athletes,Y,[]
27131204,10.1016/j.gaitpost.2015.12.026,1,2016,5,1,Advantages and disadvantages of stiffness instructions when studying postural control.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D005260,Female,N,[]
27131202,10.1016/j.gaitpost.2016.03.010,6,2016,5,1,Plantar flexor muscle weakness may cause stiff-knee gait.,1879-2219,Electronic,46,,Gait & posture,Gait Posture,20220351,D006801,Humans,N,[]
